NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Apto El Dorado,Bogota DC,Bogota DC,5.941193919169447,5.308029056388345,4.4086236559139795,3.503944859367551,3.459461224722626,3.9007096954330724,4.292191720959796,4.394812754912866,4.077728395061728,3.8145977011494243,4.236882758620689,5.078058159860161,4.36801949179664
Eldorado Didactica,Bogota DC,Bogota DC,5.835714285714286,5.085797883597883,4.408049739361819,3.4012914131169714,3.3517209101382486,3.637789046653144,4.1295026881720425,4.2027294546851,3.9921913200145958,3.742045927573847,4.065314039408867,5.153435828168865,4.250465211383806
Esc Col Ingenieria,Bogota DC,Bogota DC,5.67063101301641,4.798357963875206,3.9019019074692043,3.002568058076225,3.107452636968766,3.2815950556467803,3.664699295513534,3.5017446842913738,3.2897029739098707,3.392303338992644,3.863103448275862,4.911397849462366,3.865454852124854
Taques Los,Bogota DC,Bogota DC,5.727500465570855,4.872566591078591,3.6058442072553123,2.6830368542966188,2.4864144472595804,2.430164773509323,2.688648709473081,2.9595123997853223,3.464629219644082,3.6110501064953113,3.8700874631134505,4.87557091983908,3.606252179776717
Univ Nacional,Bogota DC,Bogota DC,5.9522199027575375,5.094456575911316,4.0089531765046225,3.3461232143583675,3.1677941617878145,4.134578706566003,4.421345636889992,4.646510745750018,4.086708334674866,3.836340177547935,3.999752474575586,5.199092815465609,4.324489660232472
Venado Oro Vivero,Bogota DC,Bogota DC,3.9630706895400234,3.5704329301085362,2.864055251583782,2.477630362645018,2.6885193452487983,3.075544517423828,3.318695481962405,3.479619143985651,3.1214236651632854,2.5814232276819684,2.5143411649554412,3.3303667036023774,3.082093540325093
Sincerin,Arjona,Bolivar,8.294786365720364,7.901918535037592,6.526611751927882,5.594455136650537,5.076942341683174,5.5814988785187625,6.077470035582555,6.098132155158083,4.714869246043942,4.588917180106121,5.483275521167987,7.190651243372649,6.0941273659141375
Apto Rafael Nunez,Cartagena,Bolivar,8.846160657811511,8.512318035306542,7.698583298422006,6.96363288052943,6.179667338709677,6.2664193660745395,6.721020087679119,6.4446761272345245,5.742666495536351,5.497845529825509,6.227595699917897,7.782650474303925,6.906936332612585
Esc Naval Cioh,Cartagena,Bolivar,9.168233416046318,8.645482528996288,7.5927293870077515,6.963826929392445,6.264648496212724,6.820945697023284,6.764471990759838,6.752326170977965,5.820123749175473,5.728432640617736,6.508424606378131,7.983974220327113,7.084468319409589
Carmen de Bolivar,El Carmen de Bolivar,Bolivar,7.5798463810364005,7.1952685033144785,5.960824458098651,5.209141549595572,4.815517240334433,5.440408186959911,6.511892779972638,5.781249783710296,4.632497988388792,4.597420837968111,5.389890142912455,6.222447045031935,5.77803374144364
Apto Baracoa,Magangue,Bolivar,8.274655321231197,7.742583784386467,6.497970989583893,5.634929562264046,5.087294262958431,6.084375435654173,6.769499311404206,6.460660991760294,5.521143218547937,4.895561045271688,5.732017138752053,7.22102448721424,6.3268096290857185
